"","Condition_GF_vs_wt","Condition_GF_vs_bA.A","Condition_GF_vs_bJ.A","Condition_GF_vs_bE.A","Condition_bA.A_vs_wt","Condition_bJ.A_vs_wt","Condition_bE.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_GF","Condition_bE.A_bJ.A_bA.A_vs_GF_wt"
"NVE426",0,0,0,0,0,0,0,0,0,0
"NVE427",0,0,0,0,1,0,0,0,0,0
"NVE428",1,0,0,0,1,1,1,1,0,0
"NVE429",0,0,0,0,0,0,0,0,0,0
"NVE430",0,0,0,0,0,0,0,0,0,0
"NVE431",0,0,0,0,1,0,0,1,0,1
"NVE432",0,0,0,0,0,0,0,0,0,0
"NVE433",0,0,0,0,0,0,0,0,0,0
"NVE434",0,0,0,0,0,0,0,0,0,0
"NVE435",0,0,0,0,0,0,1,1,0,0
"NVE436",0,0,0,0,1,0,0,0,0,0
"NVE437",0,0,0,0,0,0,0,0,0,0
"NVE438",0,0,0,0,1,0,1,1,0,1
"NVE439",0,0,0,0,0,0,0,0,0,0
"NVE440",0,0,0,0,0,0,0,0,0,0
"NVE441",0,0,0,0,1,1,1,1,0,1
"NVE442",0,0,0,0,1,1,1,1,1,1
"NVE443",0,0,0,0,0,0,0,0,0,0
"NVE444",0,1,0,0,1,0,1,1,1,1
"NVE445",0,0,0,0,1,0,0,1,0,1
"NVE446",0,0,0,0,0,0,0,0,0,0
"NVE447",0,0,0,0,0,0,0,0,0,0
"NVE448",0,0,0,0,0,0,0,0,0,0
"NVE449",0,0,0,0,0,0,0,0,0,0
"NVE450",0,0,0,0,0,0,0,0,0,0
"NVE451",0,0,0,0,0,0,0,0,0,0
"NVE452",0,0,0,0,0,0,0,0,0,0
"NVE453",0,0,0,0,1,1,1,1,1,1
"NVE454",0,0,0,1,1,0,1,1,1,1
"NVE455",0,1,0,0,1,0,0,1,1,1
"NVE456",1,0,0,0,1,1,1,1,1,1
"NVE457",0,0,0,0,1,0,0,0,0,0
"NVE458",0,0,0,0,1,0,1,1,0,1
"NVE459",1,1,0,0,1,1,1,1,1,1
"NVE460",0,0,0,0,1,0,1,1,1,1
"NVE461",1,0,0,0,1,1,1,1,0,1
"NVE462",0,0,0,0,1,0,0,1,0,1
"NVE463",0,0,0,0,0,0,0,0,0,0
"NVE464",0,0,0,0,1,0,0,0,0,0
"NVE465",0,0,0,0,0,0,0,0,0,0
"NVE466",0,0,0,0,0,0,1,0,0,0
"NVE467",0,0,0,0,0,0,0,0,0,0
"NVE468",0,0,0,0,0,0,0,0,0,0
"NVE469",0,1,0,0,1,1,1,1,1,1
"NVE470",0,0,0,0,1,0,0,0,0,0
"NVE471",0,0,0,0,1,0,0,1,0,0
"NVE472",0,0,0,0,1,0,0,0,0,0
"NVE473",0,0,0,0,1,0,0,1,0,1
"NVE474",0,0,0,0,0,0,0,0,0,0
"NVE475",0,0,0,0,0,0,0,0,0,0
"NVE476",0,0,0,0,1,0,0,1,0,1
"NVE477",0,0,0,0,0,0,1,1,0,0
"NVE478",0,0,0,0,1,1,0,1,0,1
"NVE479",0,0,0,0,0,0,0,0,0,0
"NVE480",0,0,0,0,0,1,0,1,0,0
"NVE481",0,0,0,0,0,0,0,0,0,0
"NVE482",1,0,0,0,1,1,1,1,1,1
"NVE483",0,0,0,0,0,0,0,0,0,0
"NVE484",0,0,0,0,0,0,0,0,0,0
"NVE485",0,0,0,0,0,0,0,0,0,0
"NVE486",0,0,0,0,0,0,0,0,0,0
"NVE487",0,0,0,0,0,0,0,0,0,0
"NVE488",0,0,0,0,0,0,0,0,0,0
"NVE489",0,0,0,0,0,0,0,0,0,0
"NVE490",0,0,0,0,0,0,0,0,0,0
"NVE491",1,0,0,0,1,1,1,1,1,1
"NVE492",0,0,0,0,1,1,1,1,1,1
"NVE493",0,0,0,0,0,0,0,0,0,0
"NVE494",0,0,0,0,0,0,0,0,0,0
"NVE495",0,0,0,0,0,0,0,1,0,1
"NVE496",0,0,0,0,1,0,1,1,0,1
"NVE497",0,0,0,0,0,0,0,0,0,0
